Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,R0,145.600000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,R1,145.625000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,R2,145.650000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,R3,145.675000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,R4,145.700000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,R5,145.725000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,R6,145.750000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,R7,145.775000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,R3X,145.687500,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,R6X VIZ,145.762500,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,R1BU 77,145.625000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
12,R2BU 77,145.650000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
13,R2VIT 1,145.650000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
14,R2BU 88,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
15,R2CAN 1,145.650000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
16,R3CAN 6,145.650000,-,0.600000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
17,R3LE,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
18,R3NA,145.675000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
19,R4AV,145.700000,-,0.600000,Tone,71.9,88.5,023,NN,FM,5.00,,,,,,
20,R4MA,145.700000,-,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
21,R5LR,145.725000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
22,R6LR 77,145.750000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
23,R6GI79.,145.750000,-,0.600000,Tone,79.7,88.5,023,NN,FM,5.00,,,,,,
24,R7VIT 1,145.775000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
25,R7PA885,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
50,SO50-1,436.815000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
51,SO50-2,436.805000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
52,SO50-3,436.805000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
53,SO50-4,436.800000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
54,SO50-5,436.795000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
55,SO50-6,436.790000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
56,SO50-7,436.785000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
58,AO85-1,145.980000,split,435.160000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
59,AO85-2,145.980000,split,435.165000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
60,AO85-CE,145.980000,split,435.170000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
61,AO85-4,145.980000,split,435.175000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
62,AO85-5,145.980000,split,435.180000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
63,AO85-6,145.980000,split,435.185000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
64,AO85-7,145.980000,split,435.190000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
66,AO-91-1,145.960000,split,435.240000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
67,AO-91-2,145.960000,split,435.245000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
68,AO-91-3,145.960000,split,435.250000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
69,AO-91-4,145.960000,split,435.255000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
70,AO-91-5,145.960000,split,435.260000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
72,AO-92-1,145.880000,split,435.340000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
73,AO-92-2,145.880000,split,435.345000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
74,AO-92-3,145.880000,split,435.350000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
75,AO-92-4,145.875000,split,435.350000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
76,AO-92-5,145.875000,split,435.355000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
77,AO-92-6,145.875000,split,435.360000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
79,RU70BU,438.650000,-,7.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
80,R70CAN,438.650000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
81,RU71CE,438.675000,-,7.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
82,R71,438.675000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
83,RU72BI,438.700000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
84,RU73A,438.725000,-,7.600000,Tone,79.7,88.5,023,NN,FM,5.00,,,,,,
85,RU73HU,438.725000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
86,RU74BI,438.750000,-,7.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
87,RU74,438.750000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,R75,438.775000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
89,R76,438.800000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,R77,438.825000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,R78CAN,438.850000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
92,RU78AV,438.850000,-,7.600000,Tone,71.9,88.5,023,NN,FM,5.00,,,,,,
93,R79AST,438.875000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
94,R80,438.900000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,R81GI,438.925000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
96,RU82BI,438.950000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
97,R83AST,438.975000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
98,R84BI,439.000000,-,7.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
99,R85AST,439.025000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
100,R86,439.050000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
101,R87AST,439.075000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
102,R88,439.100000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
103,R89AST,439.125000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
104,R90,439.150000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
105,RU91LE,439.175000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
106,RU92AV,439.200000,-,7.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
107,R92,439.200000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
108,RU93LE,439.225000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
109,RU94GI,439.250000,-,7.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
110,R94,439.250000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
111,R95,439.275000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
112,R96,439.300000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
113,R97,439.325000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
114,R98NA,439.350000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
115,R99,439.375000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
116,R100BI,439.400000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
117,R101,439.425000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
122,ISS-V,145.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
123,ISS-P,145.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
124,CH-124,14.227000,,0.100000,,88.5,88.5,023,NN,USB,1.00,,,,,,
125,ISS,437.555000,-,0.010000,,88.5,88.5,023,NN,FM,5.00,,,,,,
126,ISS,437.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
127,ISS,437.545000,+,0.010000,,88.5,88.5,023,NN,FM,5.00,,,,,,
128,ISS,437.540000,+,0.020000,,88.5,88.5,023,NN,FM,5.00,,,,,,
200,,51.850000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
